제품명,URL,가격,평점
"귤탐 당도선별 11brix 감귤, 2kg(로열과), 1개",https://www.coupang.com/vp/products/6855806001?itemId=16349390568&vendorItemId=82703198400&sourceType=CAMPAIGN&campaignId=82&categoryId=194182,"14,270",4.5
"귤탐 당도선별 11brix 감귤, 2kg(대과), 1개",https://www.coupang.com/vp/products/6855806001?itemId=21260525201&vendorItemId=88320873707&sourceType=CAMPAIGN&campaignId=82&categoryId=194182,"11,850",4.5
"곰곰 GAP 당도선별 제주감귤, 1.5kg(로얄과), 1박스",https://www.coupang.com/vp/products/6810165618?itemId=16107487920&vendorItemId=83304626686&sourceType=CAMPAIGN&campaignId=82&categoryId=194182,"9,630",4.5
"돌 스위티오 바나나, 1kg 내외, 1개",https://www.coupang.com/vp/products/218520566?itemId=490814306&vendorItemId=4242007843&sourceType=CAMPAIGN&campaignId=82&categoryId=194182,"4,190",4.5
"델몬트 필리핀 바나나, 1.4kg 내외, 1개",https://www.coupang.com/vp/products/6354913981?itemId=16734614225&vendorItemId=83916573827&sourceType=CAMPAIGN&campaignId=82&categoryId=194182,"5,020",4.5
"곰곰 세척 사과, 2kg, 1개",https://www.coupang.com/vp/products/324286997?itemId=1038296605&vendorItemId=5493710543&sourceType=CAMPAIGN&campaignId=82&categoryId=194182,"15,860",4.5
"명실상주 당도선별 샤인머스켓, 1.5kg(2~3송이), 1개",https://www.coupang.com/vp/products/6724131260?itemId=15646033918&vendorItemId=82862046288&sourceType=CAMPAIGN&campaignId=82&categoryId=194182,"12,850",4.5
"곰곰 스테비아 대추방울토마토, 500g, 1팩",https://www.coupang.com/vp/products/6101896267?itemId=17397278390&vendorItemId=84566737697&sourceType=CAMPAIGN&campaignId=82&categoryId=194182,"6,990",4.5
"귤탐 당도선별 11brix 감귤, 2kg(소과), 1개",https://www.coupang.com/vp/products/6855806001?itemId=20512855105&vendorItemId=87590459342&sourceType=CAMPAIGN&campaignId=82&categoryId=194182,"14,270",4.5
"곰곰 달콤한 스테비아 대추방울토마토, 1kg, 1개",https://www.coupang.com/vp/products/6101896267?itemId=11440236121&vendorItemId=78715723909&sourceType=CAMPAIGN&campaignId=82&categoryId=194182,"9,990",4.5
"탐라황감 당도선별 감귤 10brix, 2kg(로열과), 1개",https://www.coupang.com/vp/products/7677689326?itemId=20498716350&vendorItemId=87576999851&sourceType=CAMPAIGN&campaignId=82&categoryId=194182,"11,990",4.5
"곰곰 국내산 사과, 1.5kg(꼬마, 8~10입), 1개",https://www.coupang.com/vp/products/6057854838?itemId=11126906850&vendorItemId=78405550325&sourceType=CAMPAIGN&campaignId=82&categoryId=194182,"11,100",4.5
"한반도 비파괴 당도선별 샤인머스켓, 1.5kg, 1개",https://www.coupang.com/vp/products/6125877934?itemId=19932221438&vendorItemId=87287289668&sourceType=CAMPAIGN&campaignId=82&categoryId=194182,"12,850",4.5
